;;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION
SI;MOBILITY_FREIGHT;0;0;0;13.95136067
SI;AVIATION_LONG_HAUL;0;0;0;2.465477397
SI;SHIPPING;0;0;0;192.2698275
SI;NON_ENERGY;0;0;0.951596008;0
SK;ELECTRICITY;4.032833993;4.182997791;1.658975566;0
SK;HEAT_HIGH_T;0;0;21.2844414;0
SK;HEAT_LOW_T_SH;12.03032845;2.285402201;8.465120862;0
SK;HEAT_LOW_T_HW;2.587720119;1.168819153;0.969122992;0
SK;PROCESS_COOLING;0;0;1.080810293;0
SK;SPACE_COOLING;1.074598902;2.619159185;0.729318217;0
SK;MOBILITY_PASSENGER;0;0;0;56.27784728
SK;MOBILITY_FREIGHT;0;0;0;24.50196273
SK;AVIATION_LONG_HAUL;0;0;0;6.20933873
SK;SHIPPING;0;0;0;0
SK;NON_ENERGY;0;0;5.105256978;0
GB;ELECTRICITY;56.34925519;70.18262399;45.75467422;0
GB;HEAT_HIGH_T;0;0;96.45833973;0
GB;HEAT_LOW_T_SH;184.9973928;53.9484041;24.39409177;0
GB;HEAT_LOW_T_HW;35.99274324;20.99858953;10.12034218;0
GB;PROCESS_COOLING;0;0;8.962856924;0
GB;SPACE_COOLING;12.90347453;28.10820098;0.636969777;0
GB;MOBILITY_PASSENGER;0;0;0;821.6952939
GB;MOBILITY_FREIGHT;0;0;0;205.6134041
GB;AVIATION_LONG_HAUL;0;0;0;112.0711368
GB;SHIPPING;0;0;0;977.3314073
GB;NON_ENERGY;0;0;43.67407021;0
XK;ELECTRICITY;1.052496699;0.807401439;0.714358237;0
XK;HEAT_HIGH_T;0;0;1.173608051;0
XK;HEAT_LOW_T_SH;2.350331868;0.520921288;0.459004532;0
XK;HEAT_LOW_T_HW;0.481104225;0.21799174;0.4882798;0
XK;PROCESS_COOLING;0;0;0.149662511;0
XK;SPACE_COOLING;0.626267841;0.102166902;0.04042129;0
XK;MOBILITY_PASSENGER;0;0;0;8.5690026
XK;MOBILITY_FREIGHT;0;0;0;1.964228928
XK;AVIATION_LONG_HAUL;0;0;0;0.945449094
XK;SHIPPING;0;0;0;0
XK;NON_ENERGY;0;0;0.3084358;0
