;;Category;Subcategory;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units
HEAT_LOW_T_SH;GB;Heat;space heating;302400.69;111956.97;16512.47;0.0;[GWh]
HEAT_LOW_T_HW;AL;Heat;hot water;3491.21;1220.91;344.22;0.0;[GWh]
HEAT_LOW_T_HW;AT;Heat;hot water;12028.1;4413.51;3461.99;0.0;[GWh]
HEAT_LOW_T_HW;BA;Heat;hot water;3491.21;1220.91;344.22;0.0;[GWh]
HEAT_LOW_T_HW;BE;Heat;hot water;12413.5;7051.2;4174.2;0.0;[GWh] 
HEAT_LOW_T_HW;BG;Heat;hot water;4030.73;1261.5;1096.36;0.0;[GWh]
HEAT_LOW_T_HW;CH;Heat;hot water;7538.0;3256.0;1282.0;0.0;[GWh]
HEAT_LOW_T_HW;CZ;Heat;hot water;13587.09;5715.58;2745.07;0.0;[GWh]
HEAT_LOW_T_HW;DE;Heat;hot water;110377.33;43293.47;18338.75;0.0;[GWh]
HEAT_LOW_T_HW;DK;Heat;hot water;8066.51;4048.34;710.01;0.0;[GWh]
HEAT_LOW_T_HW;EE;Heat;hot water;2041.19;681.13;221.01;0.0;[GWh]
HEAT_LOW_T_HW;GR;Heat;hot water;5845.44;1273.95;927.66;0.0;[GWh]
HEAT_LOW_T_HW;ES;Heat;hot water;23812.27;15808.41;6183.34;0.0;[GWh]
HEAT_LOW_T_HW;FI;Heat;hot water;9452.72;5619.24;2013.76;0.0;[GWh]
HEAT_LOW_T_HW;FR;Heat;hot water;69495.85;35480.79;8441.93;0.0;[GWh]
HEAT_LOW_T_HW;HR;Heat;hot water;3491.21;1220.91;344.22;0.0;[GWh]
HEAT_LOW_T_HW;HU;Heat;hot water;10486.23;5412.06;658.04;0.0;[GWh]
HEAT_LOW_T_HW;IE;Heat;hot water;5261.22;1920.59;663.75;0.0;[GWh]
HEAT_LOW_T_HW;IT;Heat;hot water;70368.12;22633.81;5536.78;0.0;[GWh]
HEAT_LOW_T_HW;LT;Heat;hot water;2424.85;788.72;329.11;0.0;[GWh]
HEAT_LOW_T_HW;LU;Heat;hot water;1343.28;1012.02;36.62;0.0;[GWh]
HEAT_LOW_T_HW;LV;Heat;hot water;2578.07;1077.21;363.77;0.0;[GWh]
HEAT_LOW_T_HW;ME;Heat;hot water;3491.21;1220.91;344.22;0.0;[GWh]
HEAT_LOW_T_HW;MK;Heat;hot water;3491.21;1220.91;344.22;0.0;[GWh]
HEAT_LOW_T_HW;NL;Heat;hot water;20104.4;14418.04;3566.49;0.0;[GWh]
HEAT_LOW_T_HW;NO;Heat;hot water;10727.48;6096.86;3926.06;0.0;[GWh]
HEAT_LOW_T_HW;PL;Heat;hot water;44316.84;17945.84;5532.85;0.0;[GWh]
HEAT_LOW_T_HW;PT;Heat;hot water;4420.97;1973.55;1858.3;0.0;[GWh]
HEAT_LOW_T_HW;RO;Heat;hot water;16657.79;3731.35;2819.28;0.0;[GWh]
HEAT_LOW_T_HW;RS;Heat;hot water;3491.21;1220.91;344.22;0.0;[GWh]
HEAT_LOW_T_HW;SE;Heat;hot water;10727.48;6096.86;3926.06;0.0;[GWh]
HEAT_LOW_T_HW;SI;Heat;hot water;1885.9;654.12;309.01;0.0;[GWh]
HEAT_LOW_T_HW;SK;Heat;hot water;4150.02;2670.98;1744.32;0.0;[GWh]
HEAT_LOW_T_HW;GB;Heat;hot water;77297.31;25097.21;4278.06;0.0;[GWh]
PROCESS_COOLING;AL;Cold;process cooling;0.0;369.23;1353.85;0.0;[GWh]
PROCESS_COOLING;AT;Cold;process cooling;0.0;6000.0;3000.0;0.0;[GWh]
PROCESS_COOLING;BA;Cold;process cooling;0.0;369.23;1353.85;0.0;[GWh]
PROCESS_COOLING;BE;Cold;process cooling;0.0;0.0;0.0;0.0;[GWh]
PROCESS_COOLING;BG;Cold;process cooling;0.0;315.79;947.37;0.0;[GWh]
PROCESS_COOLING;CH;Cold;process cooling;0.0;2221.441467;1110.720733;0.0;[GWh]
PROCESS_COOLING;CZ;Cold;process cooling;0.0;4000.0;3000.0;0.0;[GWh]
PROCESS_COOLING;DE;Cold;process cooling;0.0;55000.0;37000.0;0.0;[GWh]
PROCESS_COOLING;DK;Cold;process cooling;0.0;4177.22;2810.13;0.0;[GWh]
PROCESS_COOLING;EE;Cold;process cooling;0.0;1333.33;500.0;0.0;[GWh]
PROCESS_COOLING;GR;Cold;process cooling;0.0;923.08;3384.62;0.0;[GWh]
PROCESS_COOLING;ES;Cold;process cooling;0.0;13000.0;15000.0;0.0;[GWh]
PROCESS_COOLING;FI;Cold;process cooling;0.0;8000.0;3000.0;0.0;[GWh]
PROCESS_COOLING;FR;Cold;process cooling;0.0;39000.0;36000.0;0.0;[GWh]
PROCESS_COOLING;HR;Cold;process cooling;0.0;369.23;1353.85;0.0;[GWh]
PROCESS_COOLING;HU;Cold;process cooling;0.0;1000.0;2000.0;0.0;[GWh]
PROCESS_COOLING;IE;Cold;process cooling;0.0;1250.0;1319.44;0.0;[GWh]
PROCESS_COOLING;IT;Cold;process cooling;0.0;6000.0;22000.0;0.0;[GWh]
PROCESS_COOLING;LT;Cold;process cooling;0.0;2666.67;1000.0;0.0;[GWh]
PROCESS_COOLING;LU;Cold;process cooling;0.0;692.31;615.38;0.0;[GWh]
PROCESS_COOLING;LV;Cold;process cooling;0.0;2666.67;1000.0;0.0;[GWh]
PROCESS_COOLING;ME;Cold;process cooling;0.0;369.23;1353.85;0.0;[GWh]
PROCESS_COOLING;MK;Cold;process cooling;0.0;369.23;1353.85;0.0;[GWh]
PROCESS_COOLING;NL;Cold;process cooling;0.0;17000.0;11000.0;0.0;[GWh]
PROCESS_COOLING;NO;Cold;process cooling;0.0;15000.0;5000.0;0.0;[GWh]
PROCESS_COOLING;PL;Cold;process cooling;0.0;9000.0;11000.0;0.0;[GWh]
PROCESS_COOLING;PT;Cold;process cooling;0.0;2954.55;3409.09;0.0;[GWh]
PROCESS_COOLING;RO;Cold;process cooling;0.0;1000.0;3000.0;0.0;[GWh]
PROCESS_COOLING;RS;Cold;process cooling;0.0;369.23;1353.85;0.0;[GWh]
PROCESS_COOLING;SE;Cold;process cooling;0.0;15000.0;5000.0;0.0;[GWh]
PROCESS_COOLING;SI;Cold;process cooling;0.0;184.62;676.92;0.0;[GWh]
PROCESS_COOLING;SK;Cold;process cooling;0.0;500.0;1000.0;0.0;[GWh]
PROCESS_COOLING;GB;Cold;process cooling;0.0;18000.0;19000.0;0.0;[GWh]
SPACE_COOLING;AL;Cold;space cooling;2124.84;2859.77;861.54;0.0;[GWh]
SPACE_COOLING;AT;Cold;space cooling;206.5;1793.5;1000.0;0.0;[GWh]
SPACE_COOLING;BA;Cold;space cooling;2124.84;2859.77;861.54;0.0;[GWh]
SPACE_COOLING;BE;Cold;space cooling;0.0;0.0;0.0;0.0;[GWh]
SPACE_COOLING;BG;Cold;space cooling;442.27;1136.67;315.79;0.0;[GWh]
SPACE_COOLING;CH;Cold;space cooling;129.4090177;1323.145302;370.2874967;0.0;[GWh]
SPACE_COOLING;CZ;Cold;space cooling;113.77;886.23;1000.0;0.0;[GWh]
SPACE_COOLING;DE;Cold;space cooling;648.86;8351.14;4000.0;0.0;[GWh]
SPACE_COOLING;DK;Cold;space cooling;49.28;634.26;303.8;0.0;[GWh]
SPACE_COOLING;EE;Cold;space cooling;0.0;0.0;166.67;0.0;[GWh]
SPACE_COOLING;GR;Cold;space cooling;5312.11;7149.43;2153.85;0.0;[GWh]
SPACE_COOLING;ES;Cold;space cooling;16837.23;41162.77;14000.0;0.0;[GWh]
SPACE_COOLING;FI;Cold;space cooling;0.0;0.0;1000.0;0.0;[GWh]
SPACE_COOLING;FR;Cold;space cooling;9215.15;25784.85;6000.0;0.0;[GWh]
SPACE_COOLING;HR;Cold;space cooling;2124.84;2859.77;861.54;0.0;[GWh]
SPACE_COOLING;HU;Cold;space cooling;753.98;2246.02;0.0;0.0;[GWh]
SPACE_COOLING;IE;Cold;space cooling;35.4;589.6;69.44;0.0;[GWh]
SPACE_COOLING;IT;Cold;space cooling;34528.71;46471.29;14000.0;0.0;[GWh]
SPACE_COOLING;LT;Cold;space cooling;0.0;0.0;333.33;0.0;[GWh]
SPACE_COOLING;LU;Cold;space cooling;5.73;225.04;0.0;0.0;[GWh]
SPACE_COOLING;LV;Cold;space cooling;0.0;0.0;333.33;0.0;[GWh]
SPACE_COOLING;ME;Cold;space cooling;2124.84;2859.77;861.54;0.0;[GWh]
SPACE_COOLING;MK;Cold;space cooling;2124.84;2859.77;861.54;0.0;[GWh]
SPACE_COOLING;NL;Cold;space cooling;45.27;2954.73;0.0;0.0;[GWh]
SPACE_COOLING;NO;Cold;space cooling;41.63;1958.37;0.0;0.0;[GWh]
SPACE_COOLING;PL;Cold;space cooling;236.22;4763.78;0.0;0.0;[GWh]
SPACE_COOLING;PT;Cold;space cooling;3826.64;9355.18;3181.82;0.0;[GWh]
SPACE_COOLING;RO;Cold;space cooling;1400.54;3599.46;1000.0;0.0;[GWh]
SPACE_COOLING;RS;Cold;space cooling;2124.84;2859.77;861.54;0.0;[GWh]
SPACE_COOLING;SE;Cold;space cooling;41.63;1958.37;0.0;0.0;[GWh]
