unit	tra_meas	partner	geo\time	2019
PAS	PAS_BRD	EU27_2020	LU	3358150
PAS	PAS_BRD	EU27_2020	LV	4525040
PAS	PAS_BRD	EU27_2020	MT	4861214
PAS	PAS_BRD	EU27_2020	NL	39772265
PAS	PAS_BRD	EU27_2020	PL	24039246
PAS	PAS_BRD	EU27_2020	PT	29678263
PAS	PAS_BRD	EU27_2020	RO	13815052
PAS	PAS_BRD	EU27_2020	SE	20665878
PAS	PAS_BRD	EU27_2020	SI	788106
PAS	PAS_BRD	EU27_2020	SK	1280989
PAS	PAS_BRD	EU27_2020	UK	171076001
PAS	PAS_BRD	EU28	AT	24387803
PAS	PAS_BRD	EU28	BE	25112684
PAS	PAS_BRD	EU28	BG	9088311
PAS	PAS_BRD	EU28	CY	7531271
PAS	PAS_BRD	EU28	CZ	12848893
PAS	PAS_BRD	EU28	DE	124367727
PAS	PAS_BRD	EU28	DK	23457186
PAS	PAS_BRD	EU28	EE	2529933
PAS	PAS_BRD	EU28	GR	37804893
PAS	PAS_BRD	EU28	ES	152145387
PAS	PAS_BRD	EU28	EU28	529928038
PAS	PAS_BRD	EU28	FI	14088729
PAS	PAS_BRD	EU28	FR	76333415
PAS	PAS_BRD	EU28	HR	8329847
PAS	PAS_BRD	EU28	HU	12597585
PAS	PAS_BRD	EU28	IE	31387732
PAS	PAS_BRD	EU28	IT	95098018
PAS	PAS_BRD	EU28	LT	4678291
PAS	PAS_BRD	EU28	LU	3946995
PAS	PAS_BRD	EU28	LV	5352428
PAS	PAS_BRD	EU28	MT	6570079
PAS	PAS_BRD	EU28	NL	51104120
PAS	PAS_BRD	EU28	PL	32255919
PAS	PAS_BRD	EU28	PT	38624648
PAS	PAS_BRD	EU28	RO	17054999
PAS	PAS_BRD	EU28	SE	23298169
PAS	PAS_BRD	EU28	SI	1022237
PAS	PAS_BRD	EU28	SK	1951674
PAS	PAS_BRD	EU28	UK	171076001
PAS	PAS_BRD	FI	AT	220269
PAS	PAS_BRD	FI	BE	241993
PAS	PAS_BRD	FI	BG	68010
PAS	PAS_BRD	FI	CY	43558
PAS	PAS_BRD	FI	CZ	311712
PAS	PAS_BRD	FI	DE	2122480
PAS	PAS_BRD	FI	DK	914637
PAS	PAS_BRD	FI	EE	295751
PAS	PAS_BRD	FI	GR	599742
PAS	PAS_BRD	FI	ES	1758256
PAS	PAS_BRD	FI	EU27_2007	13862782
PAS	PAS_BRD	FI	EU27_2020	12599828
PAS	PAS_BRD	FI	EU28	14089008
PAS	PAS_BRD	FI	FR	698753
PAS	PAS_BRD	FI	HR	226226
PAS	PAS_BRD	FI	HU	264840
PAS	PAS_BRD	FI	IE	119891
PAS	PAS_BRD	FI	IT	621068
PAS	PAS_BRD	FI	LT	149910
PAS	PAS_BRD	FI	LU	1077
PAS	PAS_BRD	FI	LV	406528
PAS	PAS_BRD	FI	MT	11535
PAS	PAS_BRD	FI	NL	747731
PAS	PAS_BRD	FI	PL	518388
PAS	PAS_BRD	FI	PT	264330
PAS	PAS_BRD	FI	RO	36679
PAS	PAS_BRD	FI	SE	1920456
PAS	PAS_BRD	FI	SI	33293
PAS	PAS_BRD	FI	SK	2715
PAS	PAS_BRD	FI	UK	1489180
PAS	PAS_BRD	FR	AT	1504224
PAS	PAS_BRD	FR	BE	2429364
PAS	PAS_BRD	FR	BG	344127
PAS	PAS_BRD	FR	CY	36082
PAS	PAS_BRD	FR	CZ	1247257
PAS	PAS_BRD	FR	DE	8423650
PAS	PAS_BRD	FR	DK	1584073
PAS	PAS_BRD	FR	EE	44053
PAS	PAS_BRD	FR	GR	2965894
PAS	PAS_BRD	FR	ES	15460786
PAS	PAS_BRD	FR	EU27_2007	80130679
PAS	PAS_BRD	FR	EU27_2020	67299796
PAS	PAS_BRD	FR	EU28	80895634
PAS	PAS_BRD	FR	FI	703928
PAS	PAS_BRD	FR	HR	764955
PAS	PAS_BRD	FR	HU	805104
PAS	PAS_BRD	FR	IE	2132286
PAS	PAS_BRD	FR	IT	12511740
PAS	PAS_BRD	FR	LT	166496
PAS	PAS_BRD	FR	LU	348143
PAS	PAS_BRD	FR	LV	186900
PAS	PAS_BRD	FR	MT	450466
PAS	PAS_BRD	FR	NL	3743998
PAS	PAS_BRD	FR	PL	1505941
PAS	PAS_BRD	FR	PT	7384274
PAS	PAS_BRD	FR	RO	1204127
PAS	PAS_BRD	FR	SE	1215777
PAS	PAS_BRD	FR	SI	102217
PAS	PAS_BRD	FR	SK	33934
PAS	PAS_BRD	FR	UK	13595838
PAS	PAS_BRD	HR	AT	358692
PAS	PAS_BRD	HR	BE	249584
PAS	PAS_BRD	HR	BG	2063
PAS	PAS_BRD	HR	CY	91
PAS	PAS_BRD	HR	CZ	128527
PAS	PAS_BRD	HR	DE	2475205
PAS	PAS_BRD	HR	DK	239697
PAS	PAS_BRD	HR	EE	7504
PAS	PAS_BRD	HR	GR	97057
PAS	PAS_BRD	HR	ES	358723
PAS	PAS_BRD	HR	EU27_2007	8441623
PAS	PAS_BRD	HR	EU27_2020	6623291
PAS	PAS_BRD	HR	EU28	8441623
PAS	PAS_BRD	HR	FI	225697
PAS	PAS_BRD	HR	FR	691925
PAS	PAS_BRD	HR	HU	467
PAS	PAS_BRD	HR	IE	235357
PAS	PAS_BRD	HR	IT	388527
PAS	PAS_BRD	HR	LT	1063
PAS	PAS_BRD	HR	LU	9735
PAS	PAS_BRD	HR	LV	27552
PAS	PAS_BRD	HR	MT	3538
PAS	PAS_BRD	HR	NL	448334
PAS	PAS_BRD	HR	PL	239599
PAS	PAS_BRD	HR	PT	32077
PAS	PAS_BRD	HR	RO	9363
PAS	PAS_BRD	HR	SE	390264
PAS	PAS_BRD	HR	SI	224
PAS	PAS_BRD	HR	SK	2426
PAS	PAS_BRD	HR	UK	1818332
PAS	PAS_BRD	HU	AT	114556
PAS	PAS_BRD	HU	BE	542332
PAS	PAS_BRD	HU	BG	76525
PAS	PAS_BRD	HU	CY	130153
PAS	PAS_BRD	HU	CZ	233563
PAS	PAS_BRD	HU	DE	2273792
PAS	PAS_BRD	HU	DK	286310
PAS	PAS_BRD	HU	EE	113
PAS	PAS_BRD	HU	GR	433227
PAS	PAS_BRD	HU	ES	1038221
PAS	PAS_BRD	HU	EU27_2007	12574825
PAS	PAS_BRD	HU	EU27_2020	9982032
PAS	PAS_BRD	HU	EU28	12575321
PAS	PAS_BRD	HU	FI	258191
PAS	PAS_BRD	HU	FR	802349
PAS	PAS_BRD	HU	HR	496
PAS	PAS_BRD	HU	IE	285921
PAS	PAS_BRD	HU	IT	1454348
PAS	PAS_BRD	HU	LT	229
PAS	PAS_BRD	HU	LU	8884
PAS	PAS_BRD	HU	LV	32414
PAS	PAS_BRD	HU	MT	113038
PAS	PAS_BRD	HU	NL	799009
PAS	PAS_BRD	HU	PL	346966
PAS	PAS_BRD	HU	PT	235505
PAS	PAS_BRD	HU	RO	145410
PAS	PAS_BRD	HU	SE	367908
PAS	PAS_BRD	HU	SI	: 
PAS	PAS_BRD	HU	SK	2572
PAS	PAS_BRD	HU	UK	2593289
PAS	PAS_BRD	IE	AT	260477
