{PERIODS};Electricity (%_elec);Space Heating (%_sh);Space Cooling (%_sc);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_dam;Hydro_river;Tidal;Solar
185;0.000170193;0.000186061;0;0.00022322;0.000114155;0.006137942;0.410298681;0.5222;0.408692476;0.523948032;0.042681955;0
186;0.000182725;0.000195286;0;0.000164478;0.000114155;0;0.389837083;0.555;0.672753835;0.555846422;0.001377872;0
187;0.000200078;0.00020134;0;0.000117484;0.000114155;0;0.374321179;0.5579;0.570611152;0.553131666;0.005706861;0
188;0.000196928;0.000206739;0;8.8113E-05;0.000114155;0;0.368502715;0.4961;0.295836377;0.498254799;0.072001364;0
189;0.000175902;0.000210953;0;5.8742E-05;0.000114155;0;0.356380915;0.525;0.169588507;0.470040721;0.102807437;0
190;0.000156022;0.000214348;0;3.75949E-05;0.000114155;0;0.361714507;0.6656;0.212076942;0.474985457;0.066214451;0
191;0.000153633;0.000216536;0;2.34968E-05;0.000114155;0;0.39439488;0.8395;0.249573898;0.477894125;0.022727465;0
192;0.000156026;0.000218418;0;9.39872E-06;0.000114155;0;0.434348332;0.9033;0.232042854;0.460539073;0.001337349;0
193;0.000140849;0.000217661;0;5.8742E-06;0.000114155;0;0.486714507;0.8899;0.156805454;0.444638356;0.034929905;0
194;0.000128754;0.000216925;0;2.34968E-06;0.000114155;0;0.504169899;0.8668;0.150840029;0.433003684;0.155993015;0
195;0.00012222;0.00021625;0;1.17484E-06;0.000114155;0;0.520073701;0.8697;0.105186267;0.429610239;0.197639022;0
196;0.000108972;0.000213693;0;1.40981E-05;0.000114155;0;0.562742436;0.8889;0.097029462;0.432421951;0.12489674;0
197;0.000105751;0.00021085;0;3.75949E-05;0.000114155;0;0.593192397;0.8919;0.122352082;0.432615862;0.036762283;0
198;0.000118249;0.00020543;0;9.39872E-05;0.000114155;0;0.617823895;0.9444;0.222912101;0.443765755;0.001297628;0
199;0.000146904;0.000199069;0;0.0001821;0.000114155;0;0.621217998;0.9656;0.534696859;0.50727167;0.004230804;0
200;0.000180723;0.000190172;0;0.000158603;0.000114155;0.009368438;0.611423584;0.9578;0.721451181;0.545569129;0.059528632;0
201;0.000196475;0.000168308;0;0.000146855;0.000114155;0.045226942;0.608708301;0.9358;0.713537862;0.558658135;0.088052909;0.003855429
202;0.000201108;0.000143621;0;0.000164478;0.000114155;0.114359554;0.6007564;0.8692;0.637083029;0.54973822;0.058228053;0.018006857
203;0.000205984;0.000119507;0;0.000187974;0.000114155;0.174446778;0.60007758;0.8195;0.655344534;0.537230948;0.020871013;0
204;0.000211931;9.96677E-05;0;0.000206772;0.000114155;0.207720885;0.61045384;0.8613;0.591672754;0.532286213;0.001337349;0
205;0.000213258;8.97275E-05;0;0.000187974;0.000114155;0.202067517;0.62102405;0.8949;0.407962016;0.522493698;0.029075305;0
206;0.0002048;8.82549E-05;0;0.000190324;0.000114155;0.166855112;0.614526765;0.8788;0.282444607;0.486523172;0.13256376;0.596934
207;0.000195436;9.23455E-05;0;0.000213821;0.000114155;0.102891294;0.620927075;0.8416;0.20367665;0.481190615;0.167268949;0.627565714
208;0.000180774;0.000102347;0;0.00022322;0.000114155;0.039896624;0.623739333;0.8464;0.214633553;0.482354082;0.106402809;0.369909429
209;0.000173006;0.000112778;0;0.00022322;0.000114155;0.006945566;0.638382467;0.8692;0.264548332;0.481675393;0.031416934;0
