From;To;Resources;Network_type;tc_min;tc_max
GR;BG;H2;H2_RETROFITTED;0;3.061594203
GR;IT;H2;H2_SUBSEA_RETRO;0;12.92673108
GR;MK;H2;H2_RETROFITTED;0;0
HR;BA;H2;H2_RETROFITTED;0;0
HR;HU;H2;H2_RETROFITTED;0;2.041062802
HR;IT;H2;H2_SUBSEA_RETRO;0;0
HR;RS;H2;H2_RETROFITTED;0;0
HR;SI;H2;H2_RETROFITTED;0;1.413043478
HU;AT;H2;H2_RETROFITTED;0;4.003623188
HU;HR;H2;H2_RETROFITTED;0;2.041062802
HU;RO;H2;H2_RETROFITTED;0;2.01489533
HU;RS;H2;H2_RETROFITTED;0;6.437198068
HU;SI;H2;H2_RETROFITTED;0;0
HU;SK;H2;H2_RETROFITTED;0;3.375603865
IE;FR;H2;H2_SUBSEA_RETRO;0;0
IE;GB;H2;H2_SUBSEA_RETRO;0;10.12419485
IT;AL;H2;H2_SUBSEA_RETRO;0;0
IT;AT;H2;H2_RETROFITTED;0;13
IT;CH;H2;H2_RETROFITTED;0;13
IT;FR;H2;H2_RETROFITTED;0;0
IT;GR;H2;H2_SUBSEA_RETRO;0;12.92673108
IT;HR;H2;H2_SUBSEA_RETRO;0;0
IT;ME;H2;H2_SUBSEA_RETRO;0;0
IT;SI;H2;H2_RETROFITTED;0;0.732689211
LT;LV;H2;H2_RETROFITTED;0;2.355072464
LT;PL;H2;H2_RETROFITTED;0;1.517713366
LT;SE;H2;H2_SUBSEA_RETRO;0;0
LU;BE;H2;H2_RETROFITTED;0;1.282206119
LU;DE;H2;H2_RETROFITTED;0;0.628019324
LU;FR;H2;H2_RETROFITTED;0;0
LV;EE;H2;H2_RETROFITTED;0;4.31763285
LV;LT;H2;H2_RETROFITTED;0;2.355072464
LV;SE;H2;H2_SUBSEA_RETRO;0;0
ME;AL;H2;H2_RETROFITTED;0;0
ME;BA;H2;H2_RETROFITTED;0;0
ME;IT;H2;H2_SUBSEA_RETRO;0;0
ME;RS;H2;H2_RETROFITTED;0;0
MK;AL;H2;H2_RETROFITTED;0;0
MK;BG;H2;H2_RETROFITTED;0;0.716988728
MK;GR;H2;H2_RETROFITTED;0;0
MK;RS;H2;H2_RETROFITTED;0;0
NL;BE;H2;H2_RETROFITTED;0;13
NL;DE;H2;H2_RETROFITTED;0;13
NL;DK;H2;H2_SUBSEA_RETRO;0;0
NL;GB;H2;H2_SUBSEA_RETRO;0;12.92673108
NL;NO;H2;H2_SUBSEA_RETRO;0;13
NO;BE;H2;H2_SUBSEA_RETRO;0;12.76972625
NO;DE;H2;H2_SUBSEA_RETRO;0;13
NO;DK;H2;H2_SUBSEA_RETRO;0;10.36231884
NO;FR;H2;H2_SUBSEA_RETRO;0;13
NO;GB;H2;H2_SUBSEA_RETRO;0;13
NO;NL;H2;H2_SUBSEA_RETRO;0;13
NO;SE;H2;H2_RETROFITTED;0;0
PL;CZ;H2;H2_RETROFITTED;0;0.732689211
PL;DE;H2;H2_RETROFITTED;0;8.530595813
PL;DK;H2;H2_SUBSEA_RETRO;0;8.425925926
PL;LT;H2;H2_RETROFITTED;0;1.517713366
PL;SE;H2;H2_SUBSEA_RETRO;0;0
PL;SK;H2;H2_RETROFITTED;0;4.553140097
PT;ES;H2;H2_RETROFITTED;0;3.768115942
RO;BG;H2;H2_RETROFITTED;0;6.777375201
RO;HU;H2;H2_RETROFITTED;0;2.01489533
RO;RS;H2;H2_RETROFITTED;0;0
RS;AL;H2;H2_RETROFITTED;0;0
RS;BA;H2;H2_RETROFITTED;0;0.471014493
RS;BG;H2;H2_RETROFITTED;0;10.4931562
RS;HR;H2;H2_RETROFITTED;0;0
RS;HU;H2;H2_RETROFITTED;0;6.437198068
RS;ME;H2;H2_RETROFITTED;0;0
